census_year,clue_small_area,clue_industry,total_establishments
2020,Docklands,Real Estate Services,2
2020,Docklands,Retail Trade,10
2020,East Melbourne,Food Catering Services,2
2020,East Melbourne,Food Catering Services,2
2020,East Melbourne,Finance and Insurance,4
2020,East Melbourne,Other Services,1
2020,East Melbourne,Public Administration and Safety,4
2020,East Melbourne,Wholesale Trade,3
2020,Kensington,Health Care and Social Assistance,19
2020,Kensington,Information Media,2
2020,Melbourne (CBD),Admin and Support Services,5
2020,Melbourne (CBD),"Electricity, Gas, Water",32
2020,Melbourne (CBD),Finance and Insurance,33
2020,Melbourne (CBD),Business Services,6
2020,Melbourne (CBD),Real Estate Services,7
2020,Melbourne (CBD),Retail Trade,13
2020,Melbourne (Remainder),Food and Beverage Services,6
2020,Melbourne (Remainder),Admin and Support Services,1
2020,Melbourne (Remainder),Admin and Support Services,1
2020,Melbourne (Remainder),Admin and Support Services,7
2020,Melbourne (Remainder),Construction,3
2020,Melbourne (Remainder),Construction,2
2020,Melbourne (Remainder),Construction,5
2020,Melbourne (Remainder),Manufacturing,4
2020,Melbourne (Remainder),Real Estate Services,2
2020,North Melbourne,Food and Beverage Services,3
2020,North Melbourne,Arts and Recreation Services,1
2020,North Melbourne,Information Media,11
2020,North Melbourne,Business Services,114
2020,North Melbourne,Rental and Hiring Services,5
2020,Parkville,Other Services,4
2020,Parkville,Other Services,7
2020,Parkville,Public Administration and Safety,1
2020,Parkville,Public Administration and Safety,2
2020,Port Melbourne,Health Care and Social Assistance,1
2020,Port Melbourne,Public Administration and Safety,2
2020,Port Melbourne,"Transport, Postal and Storage",11
2020,Port Melbourne,"Transport, Postal and Storage",5
2020,South Yarra,Information Media,2
2020,Southbank,Food Catering Services,3
2020,Southbank,Admin and Support Services,1
2020,Southbank,"Electricity, Gas, Water",1
2020,Southbank,Other Services,2
2020,Southbank,Retail Trade,15
2020,Southbank,"Transport, Postal and Storage",4
2020,Southbank,"Transport, Postal and Storage",5
2020,West Melbourne (Industrial),Arts and Recreation Services,1
2020,West Melbourne (Industrial),Manufacturing,4
2020,West Melbourne (Industrial),Manufacturing,1
2020,West Melbourne (Industrial),Wholesale Trade,1
2020,West Melbourne (Residential),"Electricity, Gas, Water",10
2020,West Melbourne (Residential),Information Media,5
2020,West Melbourne (Residential),Business Services,12
2019,Carlton,Food and Beverage Services,1
2019,Carlton,Construction,2
2019,Carlton,Health Care and Social Assistance,22
2019,Carlton,Other Services,92
2019,Docklands,Food Catering Services,6
2019,Docklands,Food and Beverage Services,22
2019,Docklands,Agriculture and Mining,1
2019,Docklands,Health Care and Social Assistance,10
2019,Docklands,Information Media,13
2019,Docklands,Other Services,4
2019,Docklands,Other Services,64
2019,Docklands,Business Services,151
2019,Docklands,Real Estate Services,2
2019,Docklands,"Transport, Postal and Storage",5
2019,East Melbourne,Food and Beverage Services,1
2019,East Melbourne,Food Catering Services,14
2019,East Melbourne,Health Care and Social Assistance,4
2019,East Melbourne,Information Media,1
2019,East Melbourne,Manufacturing,1
2019,East Melbourne,Other Services,1
2019,East Melbourne,Other Services,30
2019,Kensington,Food and Beverage Services,46
2019,Kensington,Arts and Recreation Services,63
2019,Kensington,Construction,1
2019,Kensington,Public Administration and Safety,2
2019,Melbourne (CBD),Education and Training,241
2019,Melbourne (CBD),Finance and Insurance,539
2019,Melbourne (CBD),Manufacturing,9
2019,Melbourne (CBD),Retail Trade,1340
2019,Melbourne (Remainder),Finance and Insurance,14
2019,Melbourne (Remainder),Manufacturing,1
2019,North Melbourne,Food and Beverage Services,2
2019,North Melbourne,Education and Training,1
2019,North Melbourne,Information Media,12
2019,North Melbourne,Other Services,6
2019,North Melbourne,Real Estate Services,1
2019,North Melbourne,"Transport, Postal and Storage",5
2019,Parkville,Admin and Support Services,5
2019,Parkville,Education and Training,4
2019,Parkville,Other Services,5
2019,Port Melbourne,Admin and Support Services,1
2019,Port Melbourne,Admin and Support Services,21
2019,Port Melbourne,Education and Training,8
2019,Port Melbourne,"Electricity, Gas, Water",6
2019,Port Melbourne,Health Care and Social Assistance,1
2019,Port Melbourne,Health Care and Social Assistance,5
2019,Port Melbourne,Manufacturing,58
2019,Port Melbourne,"Transport, Postal and Storage",4
2019,South Yarra,Food and Beverage Services,3
2019,South Yarra,Admin and Support Services,1
2019,South Yarra,Education and Training,4
2019,South Yarra,Health Care and Social Assistance,1
2019,Southbank,Food Catering Services,16
2019,Southbank,Admin and Support Services,1
2019,Southbank,Agriculture and Mining,2
2019,Southbank,Education and Training,1
2019,Southbank,Agriculture and Mining,2
2019,Southbank,Business Services,63
2019,Southbank,Real Estate Services,25
2019,West Melbourne (Industrial),"Electricity, Gas, Water",2
2019,West Melbourne (Industrial),Information Media,2
2019,West Melbourne (Industrial),Retail Trade,3
2019,West Melbourne (Residential),Food and Beverage Services,1
2019,West Melbourne (Residential),Construction,9
2019,West Melbourne (Residential),Health Care and Social Assistance,21
2019,West Melbourne (Residential),Rental and Hiring Services,2
2019,West Melbourne (Residential),Wholesale Trade,1
2018,Carlton,Food and Beverage Services,13
2018,Carlton,Admin and Support Services,19
2018,Carlton,Arts and Recreation Services,20
2018,Carlton,Information Media,1
2018,Carlton,Retail Trade,4
2018,Docklands,Food and Beverage Services,1
2018,Docklands,Arts and Recreation Services,3
2018,Docklands,Construction,6
2018,East Melbourne,Manufacturing,2
2018,East Melbourne,Manufacturing,2
2018,East Melbourne,Other Services,1
2018,East Melbourne,Retail Trade,12
2018,Kensington,Arts and Recreation Services,20
2018,Kensington,Information Media,1
2018,Kensington,Information Media,1
2018,Melbourne (CBD),"Electricity, Gas, Water",8
2018,Melbourne (CBD),Health Care and Social Assistance,2
2018,Melbourne (CBD),Manufacturing,221
2018,Melbourne (CBD),Real Estate Services,4
2018,Melbourne (CBD),Real Estate Services,45
2018,Melbourne (CBD),"Transport, Postal and Storage",6
2018,Melbourne (Remainder),Construction,3
2018,Melbourne (Remainder),Health Care and Social Assistance,55
2018,Melbourne (Remainder),Other Services,2
2018,Melbourne (Remainder),Other Services,14
2018,Melbourne (Remainder),Rental and Hiring Services,1
2018,Melbourne (Remainder),Retail Trade,1
2018,Melbourne (Remainder),Wholesale Trade,4
2018,North Melbourne,Arts and Recreation Services,12
2018,North Melbourne,Arts and Recreation Services,33
2018,North Melbourne,"Electricity, Gas, Water",21
2018,North Melbourne,Finance and Insurance,20
2018,North Melbourne,Information Media,4
2018,North Melbourne,Other Services,9
2018,North Melbourne,Business Services,18
2018,North Melbourne,Rental and Hiring Services,4
2018,Parkville,Food and Beverage Services,64
2018,Parkville,Arts and Recreation Services,1
2018,Parkville,Arts and Recreation Services,2
2018,Parkville,Arts and Recreation Services,10
2018,Parkville,Real Estate Services,1
2018,Parkville,Real Estate Services,1
2018,Port Melbourne,Food and Beverage Services,1
2018,Port Melbourne,Education and Training,2
2018,Port Melbourne,Finance and Insurance,8
2018,Port Melbourne,Business Services,14
2018,South Yarra,Arts and Recreation Services,1
2013,Parkville,Food Catering Services,9
2013,Parkville,Arts and Recreation Services,25
2013,Parkville,Construction,1
2013,Parkville,Finance and Insurance,7
2013,Parkville,Retail Trade,1
2013,Port Melbourne,Information Media,11
2013,South Yarra,Education and Training,3
2013,West Melbourne (Residential),Other Services,5
2013,West Melbourne (Residential),Public Administration and Safety,1
2012,Carlton,"Electricity, Gas, Water",14
2012,Carlton,Wholesale Trade,3
2012,Carlton,Wholesale Trade,1
2012,Docklands,Food and Beverage Services,1
2012,Docklands,Food Catering Services,1
2012,Docklands,Arts and Recreation Services,4
2012,Docklands,Finance and Insurance,6
2012,Docklands,Health Care and Social Assistance,18
2012,East Melbourne,Admin and Support Services,3
2012,East Melbourne,Admin and Support Services,9
2012,East Melbourne,"Electricity, Gas, Water",1
2012,East Melbourne,Agriculture and Mining,1
2012,East Melbourne,Other Services,36
2012,East Melbourne,Retail Trade,1
2012,Kensington,Construction,4
2012,Kensington,Manufacturing,32
2012,Kensington,Agriculture and Mining,1
2012,Kensington,Other Services,8
2012,Kensington,Other Services,35
2012,Kensington,Business Services,5
2012,Kensington,Public Administration and Safety,2
2008,Melbourne (CBD),Admin and Support Services,85
2008,Melbourne (CBD),Arts and Recreation Services,10
2008,Melbourne (CBD),Education and Training,208
2008,Melbourne (CBD),Health Care and Social Assistance,353
2008,Melbourne (CBD),Manufacturing,276
2008,Melbourne (CBD),Other Services,39
2008,Melbourne (CBD),Business Services,17
2008,Melbourne (CBD),Public Administration and Safety,87
2008,Melbourne (Remainder),Food and Beverage Services,26
2008,Melbourne (Remainder),Other Services,3
2008,North Melbourne,"Transport, Postal and Storage",6
2008,North Melbourne,Wholesale Trade,2
2008,Parkville,Construction,1
2008,Parkville,Education and Training,2
2008,Parkville,Education and Training,8
2008,Parkville,"Electricity, Gas, Water",7
2008,Parkville,Health Care and Social Assistance,3
2008,West Melbourne (Industrial),Admin and Support Services,2
2008,West Melbourne (Industrial),Manufacturing,5
2008,West Melbourne (Industrial),"Transport, Postal and Storage",19
2013,Port Melbourne,Arts and Recreation Services,6
2013,Port Melbourne,Health Care and Social Assistance,4
2013,Port Melbourne,Wholesale Trade,2
2013,South Yarra,Food and Beverage Services,2
2013,Southbank,Admin and Support Services,7
2013,Southbank,Health Care and Social Assistance,17
2013,Southbank,Wholesale Trade,16
2013,West Melbourne (Industrial),Public Administration and Safety,2
2013,West Melbourne (Residential),Information Media,9
2013,West Melbourne (Residential),Other Services,48
2013,West Melbourne (Residential),Rental and Hiring Services,2
2008,Melbourne (CBD),Admin and Support Services,9
2008,Melbourne (Remainder),Health Care and Social Assistance,57
2008,Melbourne (Remainder),Agriculture and Mining,1
2008,Melbourne (Remainder),Other Services,8
2008,North Melbourne,Admin and Support Services,38
2008,North Melbourne,Manufacturing,69
2008,North Melbourne,Other Services,128
2008,North Melbourne,Business Services,132
2008,Parkville,Other Services,19
2008,Parkville,Business Services,7
2008,Parkville,Public Administration and Safety,1
2008,Port Melbourne,Other Services,6
2008,Port Melbourne,Wholesale Trade,16
2008,Port Melbourne,Wholesale Trade,40
2008,Southbank,Food Catering Services,2
2008,West Melbourne (Industrial),Agriculture and Mining,1
2023,Carlton,Food Catering Services,35
2023,Carlton,Admin and Support Services,3
2023,Carlton,"Electricity, Gas, Water",1
2023,Carlton,Finance and Insurance,16
2023,Carlton,Public Administration and Safety,2
2023,Carlton,Wholesale Trade,8
2023,Docklands,Food Catering Services,8
2023,Docklands,"Electricity, Gas, Water",4
2023,Docklands,"Electricity, Gas, Water",8
2023,Docklands,Manufacturing,2
2023,Docklands,Retail Trade,11
2023,Docklands,Retail Trade,149
2023,Docklands,Wholesale Trade,1
2023,East Melbourne,Food and Beverage Services,1
2023,East Melbourne,Food Catering Services,13
2023,East Melbourne,Construction,4
2023,East Melbourne,Health Care and Social Assistance,5
2023,East Melbourne,Public Administration and Safety,6
2023,Kensington,Food Catering Services,1
2023,Kensington,Arts and Recreation Services,2
2023,Kensington,"Electricity, Gas, Water",8
2023,Kensington,Information Media,1
2023,Kensington,Manufacturing,4
2023,Kensington,Business Services,25
2023,Kensington,"Transport, Postal and Storage",1
2023,Melbourne (CBD),Food and Beverage Services,23
2023,Melbourne (CBD),Arts and Recreation Services,3
2023,Melbourne (CBD),Construction,6
2023,Melbourne (CBD),Construction,1
2023,Melbourne (CBD),"Electricity, Gas, Water",35
2023,Melbourne (CBD),Finance and Insurance,376
2023,Melbourne (CBD),Other Services,73
2022,Docklands,Real Estate Services,4
2022,Docklands,"Transport, Postal and Storage",6
2022,East Melbourne,Manufacturing,2
2022,Melbourne (CBD),Manufacturing,182
2022,Melbourne (CBD),Retail Trade,4
2022,Melbourne (CBD),Retail Trade,83
2022,Melbourne (CBD),"Transport, Postal and Storage",40
2022,Melbourne (Remainder),Arts and Recreation Services,24
2022,North Melbourne,Food Catering Services,5
2022,North Melbourne,Health Care and Social Assistance,66
2022,North Melbourne,Retail Trade,69
2022,Parkville,Information Media,2
2022,Parkville,Retail Trade,14
2022,Port Melbourne,Education and Training,1
2022,Port Melbourne,Manufacturing,2
2022,Port Melbourne,Public Administration and Safety,1
2022,Port Melbourne,Wholesale Trade,1
2022,South Yarra,Food Catering Services,2
2022,Southbank,Food and Beverage Services,4
2022,Southbank,Admin and Support Services,13
2022,Southbank,Other Services,1
2022,Southbank,Wholesale Trade,3
2022,West Melbourne (Residential),Food Catering Services,1
2022,West Melbourne (Residential),Business Services,1
2021,Carlton,Food and Beverage Services,13
2021,Carlton,"Electricity, Gas, Water",14
2021,Carlton,Information Media,5
2021,Docklands,Admin and Support Services,15
